# Iteration    L2[rho]         L2[rhou]        L2[rhov]        L2[rhoE]        L2_total
# ----------------------------------------------------------------------------------------------------
    1830  2.923175527015e-06  2.101811958324e-06  2.601241850829e-06  9.783485048246e-06  1.074456176517e-05
    1840  2.780760982973e-06  2.519945600421e-06  2.050063854647e-06  9.001143749350e-06  9.965245008433e-06
    1850  2.828782180058e-06  2.203329601587e-06  2.030068712473e-06  9.593284754143e-06  1.044073566885e-05
    1860  2.659260872339e-06  2.338133390368e-06  2.484246369421e-06  8.971431187044e-06  9.959748676857e-06
    1870  3.151807409384e-06  2.164959617941e-06  2.014617506656e-06  1.054567183625e-05  1.139696530964e-05
    1880  3.034359589965e-06  2.165233514066e-06  2.629324810353e-06  9.812203966500e-06  1.082073333606e-05
    1890  3.352979418942e-06  1.806637660412e-06  2.070570801818e-06  1.068210991043e-05  1.152827594238e-05
    1900  3.344298016758e-06  2.005660070433e-06  2.083785200944e-06  1.049366109194e-05  1.138710171287e-05
    1910  3.213745022158e-06  2.223859333154e-06  2.027291978834e-06  9.854604287097e-06  1.079337045708e-05
    1920  3.386634409076e-06  1.959024684219e-06  1.702638407009e-06  1.102963723982e-05  1.182619742441e-05
    1930  2.686789276647e-06  1.851114678332e-06  2.414647835891e-06  8.648016975417e-06  9.553228980189e-06
    1940  2.820571723567e-06  2.122311864483e-06  1.589985825862e-06  9.612755500114e-06  1.036305725784e-05
    1950  2.295210434651e-06  2.037681048516e-06  2.232167557756e-06  7.802487238327e-06  8.676492039123e-06
    1960  2.375777246711e-06  2.309957972137e-06  1.902490648570e-06  8.217913138317e-06  9.062769465006e-06
    1970  2.270361050991e-06  2.084071625345e-06  2.015220979084e-06  7.540711773497e-06  8.391742577494e-06
    1980  2.630951606563e-06  1.941254734890e-06  1.902698206371e-06  9.021588601115e-06  9.782622227916e-06
    1990  2.664561947280e-06  1.918752259405e-06  1.847547360257e-06  8.696174200372e-06  9.477255804054e-06
    2000  2.639958120974e-06  1.817867203317e-06  2.233861988427e-06  8.461821675037e-06  9.320224540904e-06
    2010  2.976263629413e-06  1.594012774310e-06  1.945136841022e-06  9.505271564418e-06  1.027291422918e-05
    2020  3.067810551381e-06  1.870938868096e-06  1.842243279984e-06  9.624887407633e-06  1.043763343577e-05
    2030  2.608542896652e-06  1.726141626113e-06  2.031431193987e-06  8.062749658985e-06  8.883620079474e-06
    2040  2.732495685119e-06  1.519597909052e-06  1.639740607490e-06  8.866784575308e-06  9.543811001857e-06
    2050  2.348685160559e-06  1.425204843177e-06  1.955767173959e-06  7.474150032662e-06  8.199724067182e-06
    2060  2.481075296572e-06  1.613424268269e-06  1.666468482652e-06  8.440003922965e-06  9.097783022255e-06
    2070  2.072347330696e-06  1.938287234485e-06  2.090881057408e-06  6.857475327759e-06  7.710274465248e-06
    2080  2.479753420720e-06  2.351388742751e-06  1.683149126197e-06  8.845870011789e-06  9.631231141116e-06
    2090  2.122438725129e-06  2.636883001305e-06  2.357859139136e-06  7.275208661617e-06  8.363376046465e-06
    2100  3.058316567205e-06  2.026719118640e-06  1.572938222732e-06  1.071166959134e-05  1.143131185374e-05
    2110  2.507298853912e-06  1.841562476009e-06  2.464365933406e-06  8.033835133534e-06  8.960664389564e-06
    2120  2.741948018081e-06  1.898666823884e-06  2.128318377271e-06  8.723478272554e-06  9.578727834568e-06
    2130  3.077574896989e-06  1.512152279767e-06  1.915637261318e-06  9.893557906133e-06  1.064472761149e-05
    2140  2.892232929365e-06  1.814836272292e-06  1.614110412814e-06  9.001144950828e-06  9.761383347841e-06
    2150  2.477410233621e-06  1.619292778933e-06  1.956740011096e-06  7.723845754078e-06  8.499782072110e-06
    2160  2.438524480553e-06  1.421161700435e-06  1.850251474261e-06  7.959215270222e-06  8.645151268588e-06
    2170  2.249718094182e-06  1.519992233438e-06  1.732805876579e-06  7.327561896814e-06  8.004210607583e-06
    2180  2.301041657931e-06  1.728983894006e-06  1.783094277662e-06  7.948188137867e-06  8.639288043306e-06
    2190  1.991544796911e-06  1.806115373621e-06  1.739060292760e-06  6.510318856581e-06  7.255128237126e-06
    2200  2.223898572241e-06  1.858657057056e-06  1.452411899207e-06  7.708918802449e-06  8.362850013187e-06
    2210  1.792429799091e-06  1.874721962163e-06  2.078013379964e-06  5.892574215344e-06  6.765201956390e-06
    2220  2.430367444283e-06  1.461420720544e-06  1.263644844512e-06  8.229689342962e-06  8.795852511917e-06
    2230  2.254980285953e-06  1.497678189167e-06  1.901292985788e-06  7.343708992701e-06  8.054374763793e-06
    2240  2.266095000030e-06  1.636024547332e-06  1.560877761362e-06  6.985676403321e-06  7.684255140641e-06
    2250  2.519162877118e-06  1.319903765939e-06  1.545769710128e-06  8.052015923542e-06  8.678288539944e-06
    2260  2.183644140736e-06  1.435575575189e-06  1.411183510920e-06  6.690389068759e-06  7.319967469757e-06
    2270  2.105081568644e-06  1.165742585477e-06  1.463874943949e-06  6.732209246341e-06  7.297663692873e-06
    2280  1.827540045977e-06  1.151502494781e-06  1.885394508088e-06  5.643544188691e-06  6.330099847236e-06
    2290  2.204877738741e-06  1.290884387815e-06  1.170119567676e-06  7.161457987068e-06  7.693083169230e-06
    2300  2.003319573332e-06  1.475935347158e-06  1.630550365757e-06  6.598094667192e-06  7.237763618299e-06
    2310  1.967197039987e-06  1.617813582716e-06  1.360574902721e-06  6.524466649200e-06  7.134915143504e-06
    2320  1.766481141474e-06  1.600738750313e-06  1.606208339152e-06  5.917338643162e-06  6.578572946814e-06
    2330  1.897859868974e-06  1.637408551825e-06  1.747287697909e-06  6.576188467473e-06  7.251361796713e-06
    2340  2.209941617844e-06  1.482337397845e-06  1.333131284056e-06  7.352177641254e-06  7.931766587867e-06
    2350  2.132898624678e-06  1.554809697002e-06  1.832651762340e-06  6.879525826579e-06  7.592968972518e-06
    2360  2.217066856473e-06  1.431282175713e-06  1.470477395931e-06  6.970607118222e-06  7.597079799577e-06
    2370  2.366241509654e-06  1.262719776984e-06  1.341240662077e-06  7.489116586861e-06  8.067177566063e-06
    2380  1.976955483055e-06  1.226778568546e-06  1.490728799057e-06  6.085504283010e-06  6.683485121484e-06
    2390  2.073338738282e-06  1.159647594805e-06  1.369767207699e-06  6.658621885348e-06  7.201182103178e-06
    2400  1.843589218298e-06  1.237445235184e-06  1.718054036731e-06  5.697932193952e-06  6.352025887534e-06
    2410  2.136748504384e-06  1.349016092053e-06  1.243308141229e-06  7.063808418228e-06  7.604521226947e-06
    2420  1.701302379787e-06  1.451278376324e-06  1.636624738243e-06  5.547243876465e-06  6.200894602544e-06
